,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
11113,tt4129428,movie,Jagga Jasoos,2017,161,"Action,Adventure,Comedy",6.3,10583
11114,tt4129870,movie,White Girl,2016,88,"Crime,Drama",5.7,11014
11115,tt4131496,movie,The Vanishing,2018,107,"Drama,Mystery,Thriller",5.9,17490
11117,tt4136084,movie,Florence Foster Jenkins,2016,111,"Biography,Comedy,Drama",6.8,56495
11119,tt4139124,movie,Keanu,2016,100,"Action,Comedy,Crime",6.2,49364
11120,tt4139588,movie,Polar,2019,118,"Action,Thriller",6.3,90398
11121,tt4144190,movie,Wiener-Dog,2016,88,"Comedy,Drama",5.9,10385
11126,tt4154664,movie,Captain Marvel,2019,123,"Action,Adventure,Sci-Fi",6.8,556228
11127,tt4154756,movie,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",8.4,1066353
11128,tt4154796,movie,Avengers: Endgame,2019,181,"Action,Adventure,Drama",8.4,1112976
11130,tt4154916,movie,Replicas,2018,107,"Drama,Sci-Fi,Thriller",5.4,38867
11132,tt4157728,movie,The Last Boy,2019,87,"Fantasy,Mystery,Sci-Fi",5.5,12372
11133,tt4158096,movie,Free Fire,2016,91,"Action,Comedy,Crime",6.3,47246
11135,tt4158876,movie,Other People,2016,97,"Comedy,Drama",6.8,11622
11137,tt4160708,movie,Don't Breathe,2016,88,"Crime,Horror,Thriller",7.1,274685
11138,tt4163020,movie,Tales of Halloween,2015,97,"Adventure,Comedy,Fantasy",5.5,13275
11139,tt4169250,movie,M.S. Dhoni: The Untold Story,2016,184,"Biography,Drama,Sport",7.9,58876
11140,tt4172430,movie,13 Hours,2016,144,"Action,Drama,History",7.3,143453
11141,tt4176826,movie,Look Who's Back,2015,116,"Comedy,Drama,Fantasy",7.0,45866
11142,tt4178092,movie,The Gift,2015,108,"Drama,Mystery,Thriller",7.0,158527
11144,tt4180560,movie,Otherhood,2019,100,Comedy,6.1,11462
11145,tt4181052,movie,Special Correspondents,2016,101,Comedy,5.9,24573
11149,tt4190530,movie,Anthropoid,2016,120,"Action,Biography,Drama",7.2,49192
11150,tt4191054,movie,Strange Magic,2015,99,"Adventure,Animation,Comedy",5.7,11341
11151,tt4191580,movie,Meet the Blacks,2016,94,"Comedy,Horror",4.8,36750
11152,tt4192740,movie,Limonata,2015,110,"Comedy,Drama",7.4,13833
11155,tt4193394,movie,Indignation,2016,110,"Drama,Romance",6.8,12220
11156,tt4195278,movie,Telling Tales,2015,103,"Comedy,Fantasy,Romance",7.4,16021
11157,tt4196450,movie,The Birth of a Nation,2016,120,"Biography,Drama,History",6.5,21215
11158,tt4196776,movie,Jason Bourne,2016,123,"Action,Thriller",6.6,227906
